,propertyType,status,price,size,rooms,bathrooms,floor,neighborhood,address,district,province,municipality,exterior,hasLift,hasPlan,has3DTour,has360,distance,latitude,longitude
0,chalet,good,550.0,371.0,6,3,,,Numancia de la Sagra,,Toledo,Numancia de la Sagra,False,,False,False,False,40116,400675955.0,-38225891.0
1,flat,good,750.0,60.0,1,1,3,Canillas,"Calle de Alejandro Villegas, 23",Hortaleza,Madrid,Madrid,True,True,False,False,False,7037,404646164.0,-36489179.0
2,flat,good,750.0,70.0,2,1,bj,,Gregorio izquierdo,Centro Urbano,Madrid,San Sebastián de los Reyes,True,False,True,False,False,16145,405500865.0,-36278085.0
3,penthouse,good,400.0,67.0,2,2,2,,Calle Madrid,,Madrid,Villamanrique de Tajo,True,False,False,False,True,55041,40069197.0,-3241383.0
4,flat,good,450.0,89.0,2,1,2,,Calle Arroyo,,Toledo,Recas,False,True,False,False,False,47186,400536974.0,-39912159.0
5,flat,good,450.0,60.0,2,1,1,,Calle Arena,,Toledo,Cedillo del Condado,True,False,False,False,False,38237,401171401.0,-39246053.0
6,flat,good,590.0,70.0,3,2,,,Rascafría,,Madrid,Rascafría,True,False,False,False,False,56596,409073967.0,-38815996.0
7,studio,,684.0,45.0,0,1,,,"Av. José Antonio Corrales, 2",,Madrid,Madrid,True,,,,,10656,404855273.0,-36155982.0
8,flat,good,600.0,73.0,2,1,3,,Manzanares el Real,,Madrid,Manzanares el Real,True,False,False,False,False,37062,40727241.0,-38627075.0
9,duplex,good,600.0,71.0,1,1,1,,Calle de la Fuente,,Madrid,Miraflores de la Sierra,True,False,False,False,False,44126,4081076.0,-37651952.0
10,flat,good,550.0,90.0,3,1,2,,El Viso de San Juan,,Toledo,El Viso de San Juan,True,False,False,False,False,35627,401441987.0,-39242105.0
11,flat,good,550.0,53.0,1,1,1,San Diego,Avenida del Monte Igueldo,Puente de Vallecas,Madrid,Madrid,True,False,False,False,False,4008,403925829.0,-36680531.0
12,studio,good,700.0,28.0,0,1,1,San Pascual,"Calle de Juan Pérez Zúñiga, 41",Ciudad Lineal,Madrid,Madrid,True,False,True,True,False,5569,404436001.0,-36477389.0
13,duplex,good,700.0,86.0,2,1,3,,Calle Prado Mingo,Casco Antiguo,Madrid,Galapagar,True,True,False,False,False,31153,405756061.0,-40067032.0
14,flat,good,700.0,45.0,1,1,5,Argüelles,Calle de Benito Gutiérrez,Moncloa,Madrid,Madrid,False,False,False,False,False,2046,404312011.0,-37181341.0
15,flat,good,550.0,54.0,2,1,en,,"Ronda del Olivar, 62",Centro,Madrid,Arganda,True,False,False,False,False,26233,402998979.0,-34342379.0
16,flat,good,695.0,64.0,2,1,1,,"Calle de Ramón Esteban, 12",Centro Urbano,Madrid,San Sebastián de los Reyes,True,False,False,False,False,15747,405462991.0,-36281483.0
17,flat,good,650.0,68.0,2,1,bj,,duque de medinaceli,Centro - Casco Histórico,Madrid,San Lorenzo de el Escorial,True,False,False,False,False,42410,40592936.0,-4148138.0
18,penthouse,good,400.0,70.0,2,1,2,,Camarena,,Toledo,Camarena,True,True,False,False,False,50710,400889599.0,-411882.0
19,flat,good,700.0,30.0,1,1,1,Adelfas,Avenida de la Ciudad de Barcelona,Retiro,Madrid,Madrid,False,True,False,False,False,3247,403982963.0,-36734707.0
20,flat,good,700.0,35.0,1,1,1,Palos de Moguer,Paseo de Santa María de la Cabeza,Arganzuela,Madrid,Madrid,False,False,False,False,False,1894,404001572.0,-36978897.0
21,flat,good,700.0,43.0,1,1,2,Aluche,LUIS FEITO,Latina,Madrid,Madrid,True,True,False,False,False,4442,403924838.0,-37449843.0
22,flat,good,650.0,60.0,2,1,1,San Diego,"Calle del Hachero, 6",Puente de Vallecas,Madrid,Madrid,True,False,False,False,False,3985,403913672.0,-3669951.0
23,chalet,good,650.0,206.0,3,1,,,Aldea del Fresno,,Madrid,Aldea del Fresno,False,,False,False,False,43195,403220018.0,-41977733.0
24,flat,good,700.0,105.0,3,2,bj,,CONCHA,Centro,Madrid,Aranjuez,True,False,False,False,False,44003,400286737.0,-36013388.0
25,flat,good,695.0,40.0,1,1,4,Goya,barrio Goya,Barrio de Salamanca,Madrid,Madrid,False,True,True,False,False,2271,404203748.0,-36768541.0
26,flat,good,675.0,40.0,1,1,bj,,Centro,Centro,Madrid,Villanueva del Pardillo,True,False,False,False,False,23556,404911883.0,-39639014.0
27,flat,good,650.0,100.0,4,1,3,,Bulevar - Plaza Castilla,Bulevar - Plaza Castilla,Guadalajara,Azuqueca de Henares,True,False,False,False,False,40911,405664728.0,-32613253.0
28,flat,good,500.0,115.0,3,2,2,,La Estación,La Estación,Segovia,El Espinar,True,False,False,False,False,54442,407387257.0,-41888788.0
29,studio,good,750.0,45.0,0,1,bj,Lavapiés-Embajadores,Calle del Mesón de Paredes,Centro,Madrid,Madrid,False,True,False,False,False,1027,404074632.0,-37032414.0
30,flat,good,750.0,99.0,3,2,1,,Calle de Stuart,Centro,Madrid,Aranjuez,True,True,False,False,False,43492,400328863.0,-36044561.0
31,flat,good,680.0,38.0,1,1,1,Pacífico,"Calle de Granada, 31",Retiro,Madrid,Madrid,False,True,False,False,False,2591,404041953.0,-36774173.0
32,flat,good,750.0,51.0,1,1,1,Timón,Avenida de Logroño,Barajas,Madrid,Madrid,True,True,False,False,False,11896,404717009.0,-35826642.0
33,penthouse,good,750.0,60.0,1,1,2,Las Matas- Peñascales,barrio Las Matas- Peñascales,Las Matas- Peñascales,Madrid,Las Rozas de Madrid,True,False,False,False,False,21316,405431591.0,-3892687.0
34,studio,good,750.0,25.0,0,1,4,Chueca-Justicia,Calle de Augusto Figueroa,Centro,Madrid,Madrid,False,True,False,False,False,533,404209816.0,-37004074.0
35,flat,good,750.0,40.0,1,1,1,Palos de Moguer,Calle del General Lacy,Arganzuela,Madrid,Madrid,False,False,False,False,False,1989,404006091.0,-36929668.0
36,flat,good,750.0,90.0,2,1,1,,Calle Doctor Asuero,San Roque-Concordia-Adoratrices,Guadalajara,Guadalajara,True,False,False,False,False,51503,406233964.0,-31579445.0
37,flat,,750.0,95.0,3,2,,,"julian sanz del rio, 2",,Toledo,Illescas,True,,,,,34444,401274761.0,-38487022.0
38,flat,good,650.0,62.0,2,1,1,Águilas,Calle de Navalmoral de la Mata,Latina,Madrid,Madrid,True,False,True,False,False,7841,403751.0,-377802.0
39,studio,good,750.0,30.0,0,1,3,Lavapiés-Embajadores,Calle de la Esperanza,Centro,Madrid,Madrid,True,False,False,False,False,935,404083913.0,-37015454.0
40,flat,good,750.0,39.0,1,1,5,Trafalgar,Calle de García de Paredes,Chamberí,Madrid,Madrid,False,False,True,False,False,2036,404347375.0,-36990821.0
41,flat,good,700.0,62.0,2,1,3,San Cristóbal,Calle de Rocafort,Villaverde,Madrid,Madrid,True,False,True,False,True,8492,403412163.0,-3687954.0
42,flat,good,747.0,96.0,3,2,1,,Calle pino canario,La Dehesa - El Pinar,Madrid,Navalcarnero,True,True,True,False,False,26611,402985117.0,-39763599.0
43,flat,good,730.0,98.0,3,2,2,,Calle Lavadero,Seseña Nuevo,Toledo,Seseña,True,True,False,False,False,35011,40104041.0,-36543404.0
44,studio,good,640.0,35.0,0,1,1,Butarque,Calle Calcio,Villaverde,Madrid,Madrid,True,True,False,False,False,7324,403530117.0,-36811646.0
45,flat,good,530.0,50.0,2,1,1,,Calle VALLADOLID,,Toledo,Casarrubios del Monte,True,False,False,False,False,36223,402539157.0,-40734529.0
46,flat,good,750.0,30.0,1,1,st,Ibiza,Calle del Alcalde Sainz de Baranda,Retiro,Madrid,Madrid,False,True,False,False,False,2133,404147316.0,-36781755.0
47,flat,good,750.0,70.0,2,1,2,,"Calle San Vidal, 43",Reyes Católicos,Madrid,Alcalá de Henares,True,True,False,False,False,28703,404730968.0,-3372235.0
48,flat,good,625.0,52.0,2,1,2,,"Calle Hospìtal, 2",Centro,Madrid,El Escorial,True,False,False,False,False,40445,405839554.0,-41280487.0
49,studio,good,700.0,40.0,0,1,3,Chueca-Justicia,Plaza de Santa Bárbara,Centro,Madrid,Madrid,True,True,False,False,False,1431,404276796.0,-36944294.0
50,studio,good,750.0,40.0,0,1,en,Chopera,"Aldea del fresno, 29",Arganzuela,Madrid,Madrid,True,True,False,False,False,2417,403951105.0,-36998332.0
51,flat,good,650.0,35.0,1,1,2,Palacio,Carrera de San Francisco,Centro,Madrid,Madrid,False,True,False,False,False,1121,404103541.0,-37135429.0
52,flat,good,720.0,70.0,3,1,2,,Chorrillo,Chorrillo,Madrid,Alcalá de Henares,True,False,False,False,False,29099,404895154.0,-33728931.0
53,flat,good,650.0,70.0,2,1,1,,jerez,,Toledo,Calypo Fado,True,False,False,False,False,35607,40247822.0,-4060189.0
54,flat,good,699.0,52.0,1,1,3,Palomeras sureste,"Calle Trole, 9",Puente de Vallecas,Madrid,Madrid,True,True,False,False,False,7092,403809876.0,-36338528.0
55,flat,good,650.0,70.0,2,1,1,,jerez,,Toledo,Calypo Fado,True,False,False,False,False,36358,402449057.0,-40682374.0
56,flat,good,750.0,65.0,2,1,,Valdepelayo-Montepinos-Arroyo Culebro,Calle del Alcalde Saturnino del Yerro Alonso,Valdepelayo - Montepinos - Arroyo Culebro,Madrid,Leganés,True,True,False,False,False,13081,403173049.0,-378587.0
57,flat,good,695.0,65.0,2,1,,,Calle del Duero,Valleaguado - La Cañada,Madrid,Coslada,True,True,False,False,False,13904,40426702.0,-35395081.0
58,flat,good,750.0,78.0,2,2,,,Calle Marte,Suroeste,Madrid,Torrejón de Ardoz,True,True,False,False,False,19719,404429491.0,-34728317.0
59,flat,good,620.0,60.0,2,1,,Villaverde Alto,Calle de Juan Peñalver,Villaverde,Madrid,Madrid,True,False,False,False,False,7981,403452777.0,-37126744.0
60,studio,good,500.0,28.0,0,1,1,Lavapiés-Embajadores,Calle Buenavista,Centro,Madrid,Madrid,False,False,False,False,False,769,404107557.0,-36985885.0
61,flat,good,550.0,38.0,1,1,,Flores,Plaza de la Azucena,Centro,Madrid,Leganés,True,False,False,False,False,10938,40329273.0,-37624511.0
62,flat,good,750.0,46.0,1,1,3,Acacias,ERCILLA,Arganzuela,Madrid,Madrid,False,True,False,False,False,1476,404034375.0,-37024214.0
63,studio,good,680.0,55.0,0,1,bj,Ventas,Calle Francisco Villaespesa,Ciudad Lineal,Madrid,Madrid,True,False,False,False,False,5097,404271679.0,-36446173.0
64,chalet,good,750.0,130.0,4,1,,,Marchamalo,,Guadalajara,Marchamalo,False,,False,False,False,50833,406711656.0,-32034239.0
65,flat,good,550.0,70.0,1,1,3,,Travesía de san roque,San Roque-Concordia-Adoratrices,Guadalajara,Guadalajara,True,True,False,False,False,51634,406281339.0,-31593396.0
66,flat,,700.0,50.0,1,2,,,Calle La Mina,,Madrid,Camarma de Esteruelas,True,,,,,32052,405540497.0,-33700199.0
67,duplex,,750.0,35.0,1,1,,,Calle de González Soto,,Madrid,Madrid,True,,,,,4047,403985752.0,-36617848.0
68,flat,good,750.0,66.0,2,1,1,Zona Renfe,INFANTAS,Centro,Madrid,Alcorcón,True,True,False,False,False,13311,403475976.0,-38315957.0
69,flat,good,650.0,65.0,1,1,en,,Escobedos,San Isidro - Los Almendros,Madrid,Alcalá de Henares,True,True,False,False,False,29440,404844745.0,-33668928.0
70,flat,good,720.0,133.0,3,2,1,,Calle de Nicolás Fuster,San José - Buenos Aires,Madrid,Pinto,False,True,True,False,True,19453,402417396.0,-37034917.0
71,flat,good,700.0,230.0,4,2,,,Pozo de Guadalajara,,Guadalajara,Pozo de Guadalajara,True,,False,False,False,45171,4049625.0,-317967.0
72,flat,good,600.0,50.0,1,1,,,Calle Antonio Van de Pere,Hospital,Madrid,Valdemoro,True,True,False,False,False,24430,401974035.0,-36854443.0
73,flat,good,650.0,61.0,1,1,2,,Calle Gabriel García Márquez,Parque de la Coruña - Las Suertes,Madrid,Collado Villalba,True,True,False,False,False,34886,406252952.0,-40115687.0
74,flat,good,650.0,65.0,2,1,3,Valderas - Los Castillos,barrio Valderas - Los Castillos,Valderas - Los Castillos,Madrid,Alcorcón,False,False,False,False,False,11537,403555456.0,-38133094.0
75,flat,good,700.0,45.0,1,1,3,Casco Histórico de Barajas,barrio Casco Histórico de Barajas,Barajas,Madrid,Madrid,True,False,False,False,False,12321,404723129.0,-35773045.0
76,flat,good,625.0,62.0,2,1,bj,,Calle Jacinto Benavente,Getafe Centro,Madrid,Getafe,True,False,False,False,False,11666,403137656.0,-3729949.0
77,flat,good,595.0,45.0,1,1,bj,Aluche,Calle Marcelino Castillo,Latina,Madrid,Madrid,True,False,False,False,False,4543,403906065.0,-37445409.0
78,flat,good,650.0,55.0,1,1,4,Rejas,barrio Rejas,San Blas,Madrid,Madrid,True,True,False,False,False,10495,404415556.0,-35836227.0
79,flat,good,725.0,50.0,1,1,2,Villaverde Alto,SANTA CRISTINA,Villaverde,Madrid,Madrid,True,True,True,False,False,7708,403476494.0,-37113962.0
