propertyType,status,price,priceByArea,size,rooms,bathrooms,floor,neighborhood,address,district,province,municipality,exterior,hasLift,hasPlan,has3DTour,has360,distance
chalet,good,550.0,1.0,371.0,6,3,,,Numancia de la Sagra,,Toledo,Numancia de la Sagra,False,,False,False,False,40116
flat,good,750.0,13.0,60.0,1,1,3,Canillas,"Calle de Alejandro Villegas, 23",Hortaleza,Madrid,Madrid,True,True,False,False,False,7037
flat,good,750.0,11.0,70.0,2,1,bj,,Gregorio izquierdo,Centro Urbano,Madrid,San Sebastián de los Reyes,True,False,True,False,False,16145
penthouse,good,400.0,6.0,67.0,2,2,2,,Calle Madrid,,Madrid,Villamanrique de Tajo,True,False,False,False,True,55041
flat,good,450.0,5.0,89.0,2,1,2,,Calle Arroyo,,Toledo,Recas,False,True,False,False,False,47186
flat,good,450.0,8.0,60.0,2,1,1,,Calle Arena,,Toledo,Cedillo del Condado,True,False,False,False,False,38237
flat,good,590.0,8.0,70.0,3,2,,,Rascafría,,Madrid,Rascafría,True,False,False,False,False,56596
studio,,684.0,,45.0,0,1,,,"Av. José Antonio Corrales, 2",,Madrid,Madrid,True,,,,,10656
flat,good,600.0,8.0,73.0,2,1,3,,Manzanares el Real,,Madrid,Manzanares el Real,True,False,False,False,False,37062
duplex,good,600.0,8.0,71.0,1,1,1,,Calle de la Fuente,,Madrid,Miraflores de la Sierra,True,False,False,False,False,44126
flat,good,550.0,6.0,90.0,3,1,2,,El Viso de San Juan,,Toledo,El Viso de San Juan,True,False,False,False,False,35627
flat,good,550.0,10.0,53.0,1,1,1,San Diego,Avenida del Monte Igueldo,Puente de Vallecas,Madrid,Madrid,True,False,False,False,False,4008
studio,good,700.0,25.0,28.0,0,1,1,San Pascual,"Calle de Juan Pérez Zúñiga, 41",Ciudad Lineal,Madrid,Madrid,True,False,True,True,False,5569
duplex,good,700.0,8.0,86.0,2,1,3,,Calle Prado Mingo,Casco Antiguo,Madrid,Galapagar,True,True,False,False,False,31153
flat,good,700.0,16.0,45.0,1,1,5,Argüelles,Calle de Benito Gutiérrez,Moncloa,Madrid,Madrid,False,False,False,False,False,2046
flat,good,550.0,10.0,54.0,2,1,en,,"Ronda del Olivar, 62",Centro,Madrid,Arganda,True,False,False,False,False,26233
flat,good,695.0,11.0,64.0,2,1,1,,"Calle de Ramón Esteban, 12",Centro Urbano,Madrid,San Sebastián de los Reyes,True,False,False,False,False,15747
flat,good,650.0,10.0,68.0,2,1,bj,,duque de medinaceli,Centro - Casco Histórico,Madrid,San Lorenzo de el Escorial,True,False,False,False,False,42410
penthouse,good,400.0,6.0,70.0,2,1,2,,Camarena,,Toledo,Camarena,True,True,False,False,False,50710
flat,good,700.0,23.0,30.0,1,1,1,Adelfas,Avenida de la Ciudad de Barcelona,Retiro,Madrid,Madrid,False,True,False,False,False,3247
flat,good,700.0,20.0,35.0,1,1,1,Palos de Moguer,Paseo de Santa María de la Cabeza,Arganzuela,Madrid,Madrid,False,False,False,False,False,1894
flat,good,700.0,16.0,43.0,1,1,2,Aluche,LUIS FEITO,Latina,Madrid,Madrid,True,True,False,False,False,4442
flat,good,650.0,11.0,60.0,2,1,1,San Diego,"Calle del Hachero, 6",Puente de Vallecas,Madrid,Madrid,True,False,False,False,False,3985
chalet,good,650.0,3.0,206.0,3,1,,,Aldea del Fresno,,Madrid,Aldea del Fresno,False,,False,False,False,43195
flat,good,700.0,7.0,105.0,3,2,bj,,CONCHA,Centro,Madrid,Aranjuez,True,False,False,False,False,44003
flat,good,695.0,17.0,40.0,1,1,4,Goya,barrio Goya,Barrio de Salamanca,Madrid,Madrid,False,True,True,False,False,2271
flat,good,675.0,17.0,40.0,1,1,bj,,Centro,Centro,Madrid,Villanueva del Pardillo,True,False,False,False,False,23556
flat,good,650.0,7.0,100.0,4,1,3,,Bulevar - Plaza Castilla,Bulevar - Plaza Castilla,Guadalajara,Azuqueca de Henares,True,False,False,False,False,40911
flat,good,500.0,4.0,115.0,3,2,2,,La Estación,La Estación,Segovia,El Espinar,True,False,False,False,False,54442
studio,good,750.0,17.0,45.0,0,1,bj,Lavapiés-Embajadores,Calle del Mesón de Paredes,Centro,Madrid,Madrid,False,True,False,False,False,1027
flat,good,750.0,8.0,99.0,3,2,1,,Calle de Stuart,Centro,Madrid,Aranjuez,True,True,False,False,False,43492
flat,good,680.0,18.0,38.0,1,1,1,Pacífico,"Calle de Granada, 31",Retiro,Madrid,Madrid,False,True,False,False,False,2591
flat,good,750.0,15.0,51.0,1,1,1,Timón,Avenida de Logroño,Barajas,Madrid,Madrid,True,True,False,False,False,11896
penthouse,good,750.0,13.0,60.0,1,1,2,Las Matas- Peñascales,barrio Las Matas- Peñascales,Las Matas- Peñascales,Madrid,Las Rozas de Madrid,True,False,False,False,False,21316
studio,good,750.0,30.0,25.0,0,1,4,Chueca-Justicia,Calle de Augusto Figueroa,Centro,Madrid,Madrid,False,True,False,False,False,533
flat,good,750.0,19.0,40.0,1,1,1,Palos de Moguer,Calle del General Lacy,Arganzuela,Madrid,Madrid,False,False,False,False,False,1989
flat,good,750.0,8.0,90.0,2,1,1,,Calle Doctor Asuero,San Roque-Concordia-Adoratrices,Guadalajara,Guadalajara,True,False,False,False,False,51503
flat,,750.0,,95.0,3,2,,,"julian sanz del rio, 2",,Toledo,Illescas,True,,,,,34444
flat,good,650.0,10.0,62.0,2,1,1,Águilas,Calle de Navalmoral de la Mata,Latina,Madrid,Madrid,True,False,True,False,False,7841
studio,good,750.0,25.0,30.0,0,1,3,Lavapiés-Embajadores,Calle de la Esperanza,Centro,Madrid,Madrid,True,False,False,False,False,935
flat,good,750.0,19.0,39.0,1,1,5,Trafalgar,Calle de García de Paredes,Chamberí,Madrid,Madrid,False,False,True,False,False,2036
flat,good,700.0,11.0,62.0,2,1,3,San Cristóbal,Calle de Rocafort,Villaverde,Madrid,Madrid,True,False,True,False,True,8492
flat,good,747.0,8.0,96.0,3,2,1,,Calle pino canario,La Dehesa - El Pinar,Madrid,Navalcarnero,True,True,True,False,False,26611
flat,good,730.0,7.0,98.0,3,2,2,,Calle Lavadero,Seseña Nuevo,Toledo,Seseña,True,True,False,False,False,35011
studio,good,640.0,18.0,35.0,0,1,1,Butarque,Calle Calcio,Villaverde,Madrid,Madrid,True,True,False,False,False,7324
flat,good,530.0,11.0,50.0,2,1,1,,Calle VALLADOLID,,Toledo,Casarrubios del Monte,True,False,False,False,False,36223
flat,good,750.0,25.0,30.0,1,1,st,Ibiza,Calle del Alcalde Sainz de Baranda,Retiro,Madrid,Madrid,False,True,False,False,False,2133
flat,good,750.0,11.0,70.0,2,1,2,,"Calle San Vidal, 43",Reyes Católicos,Madrid,Alcalá de Henares,True,True,False,False,False,28703
flat,good,625.0,12.0,52.0,2,1,2,,"Calle Hospìtal, 2",Centro,Madrid,El Escorial,True,False,False,False,False,40445
studio,good,700.0,18.0,40.0,0,1,3,Chueca-Justicia,Plaza de Santa Bárbara,Centro,Madrid,Madrid,True,True,False,False,False,1431
studio,good,750.0,19.0,40.0,0,1,en,Chopera,"Aldea del fresno, 29",Arganzuela,Madrid,Madrid,True,True,False,False,False,2417
flat,good,650.0,19.0,35.0,1,1,2,Palacio,Carrera de San Francisco,Centro,Madrid,Madrid,False,True,False,False,False,1121
flat,good,720.0,10.0,70.0,3,1,2,,Chorrillo,Chorrillo,Madrid,Alcalá de Henares,True,False,False,False,False,29099
flat,good,650.0,9.0,70.0,2,1,1,,jerez,,Toledo,Calypo Fado,True,False,False,False,False,35607
