price,size,floor,municipality,hasLift,propertyType_chalet,propertyType_countryHouse,propertyType_duplex,propertyType_flat,propertyType_penthouse,propertyType_studio,rooms_1 habitacion,rooms_2 habitaciones,rooms_3 habitaciones,rooms_4 habitaciones,rooms_sin habitaciones,bathrooms_1 aseo,bathrooms_2 aseos,bathrooms_3 aseos,exterior_vista exterior,exterior_vista interior
750.0,60.0,697.6898426464414,702.071794642295,702.2528716519531,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
750.0,70.0,678.6640137059316,701.8404877613661,687.6335443592284,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
400.0,67.0,696.0922226905212,688.4800744480785,687.6335443592284,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
590.0,70.0,670.416612627114,677.8219843307708,687.6335443592284,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
684.0,45.0,670.416612627114,702.071794642295,673.705516292519,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
600.0,73.0,697.6898426464414,677.8219843307708,687.6335443592284,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
600.0,71.0,701.6980775674542,702.071794642295,687.6335443592284,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
550.0,53.0,701.6980775674542,702.071794642295,687.6335443592284,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
700.0,28.0,701.6980775674542,702.071794642295,687.6335443592284,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
700.0,86.0,697.6898426464414,702.071794642295,702.2528716519531,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
700.0,45.0,698.3045241054774,702.071794642295,687.6335443592284,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
550.0,54.0,690.2090043772075,677.8219843307708,687.6335443592284,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
695.0,64.0,701.6980775674542,701.8404877613661,687.6335443592284,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
650.0,68.0,678.6640137059316,702.071794642295,687.6335443592284,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
700.0,30.0,701.6980775674542,702.071794642295,702.2528716519531,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
700.0,35.0,701.6980775674542,702.071794642295,687.6335443592284,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
700.0,43.0,696.0922226905212,702.071794642295,702.2528716519531,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
650.0,60.0,701.6980775674542,702.071794642295,687.6335443592284,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
650.0,206.0,670.416612627114,688.4800744480785,673.705516292519,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
700.0,105.0,678.6640137059316,677.8219843307708,687.6335443592284,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
695.0,40.0,710.7500724586687,702.071794642295,702.2528716519531,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
675.0,40.0,678.6640137059316,702.071794642295,687.6335443592284,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
750.0,45.0,678.6640137059316,702.071794642295,702.2528716519531,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
750.0,99.0,701.6980775674542,677.8219843307708,702.2528716519531,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
680.0,38.0,701.6980775674542,702.071794642295,702.2528716519531,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
750.0,51.0,701.6980775674542,702.071794642295,702.2528716519531,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
750.0,60.0,696.0922226905212,701.8404877613661,687.6335443592284,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
750.0,25.0,710.7500724586687,702.071794642295,702.2528716519531,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
750.0,40.0,701.6980775674542,702.071794642295,687.6335443592284,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
650.0,62.0,701.6980775674542,702.071794642295,687.6335443592284,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
750.0,30.0,697.6898426464414,702.071794642295,687.6335443592284,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
750.0,39.0,698.3045241054774,702.071794642295,687.6335443592284,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
700.0,62.0,697.6898426464414,702.071794642295,687.6335443592284,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
747.0,96.0,701.6980775674542,677.8219843307708,702.2528716519531,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
640.0,35.0,701.6980775674542,702.071794642295,702.2528716519531,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
750.0,30.0,698.899400322301,702.071794642295,702.2528716519531,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
750.0,70.0,696.0922226905212,677.8219843307708,702.2528716519531,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
